learning_history_id,stu_id,program_id,enrollment_date,start_date,completion_date,attendance_rate,interest_score,understanding_score,difficulty_level
LH_0074,STU_039,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,5,1
LH_0075,STU_040,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,4,5
LH_0076,STU_041,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,5,3
LH_0077,STU_042,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,2
LH_0078,STU_043,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,2,1
LH_0079,STU_044,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,5,4,1
LH_0080,STU_044,BN7DCC2A07E6,2026-02-23,2026-03-09,2026-06-25,100.0,5,4,5
LH_0081,STU_045,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,5,4
LH_0082,STU_046,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,3
LH_0083,STU_046,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,1
LH_0084,STU_046,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,2,4
LH_0085,STU_047,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,3
LH_0086,STU_048,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,5,1
LH_0087,STU_049,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,4
LH_0088,STU_050,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,4,1
LH_0089,STU_050,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,4,3,4
LH_0090,STU_050,BN5486CC8319,2026-02-19,2026-03-21,2026-06-27,100.0,5,5,1
LH_0091,STU_051,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,2,5
LH_0092,STU_051,BN96860CB9C8,2025-04-01,2025-04-01,2025-04-30,100.0,3,3,4
LH_0093,STU_052,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,2,5
LH_0094,STU_052,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,3,1
LH_0095,STU_053,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,3,5
LH_0096,STU_054,BN48FC05969B,2024-03-15,2024-03-15,2024-12-31,100.0,4,4,5
LH_0097,STU_054,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,3,2,4
LH_0098,STU_054,BN7DCC2A07E6,2026-02-26,2026-03-09,2026-06-25,100.0,4,4,3
LH_0099,STU_055,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,3,1
LH_0100,STU_056,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,2,1
LH_0101,STU_056,BN78806EACC0,2025-08-08,2025-08-23,2025-12-06,100.0,5,5,5
LH_0102,STU_056,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,5,5
LH_0103,STU_057,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,2
LH_0104,STU_057,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,5
LH_0105,STU_058,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,2,1
LH_0106,STU_059,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,2,1
LH_0107,STU_059,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,5,5,4
LH_0108,STU_060,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,3
LH_0109,STU_060,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,3,4
LH_0110,STU_060,BN7DCC2A07E6,2026-03-01,2026-03-09,2026-06-25,100.0,3,5,2
LH_0111,STU_061,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,1
LH_0112,STU_061,BN7DCC2A07E6,2026-02-27,2026-03-09,2026-06-25,100.0,5,3,5
LH_0113,STU_061,BN5486CC8319,2026-02-21,2026-03-21,2026-06-27,100.0,3,5,4
LH_0114,STU_062,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,3,3
LH_0115,STU_062,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,3,1
LH_0116,STU_063,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,5,3,1
LH_0117,STU_063,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,3,4,5
LH_0118,STU_064,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,3,1
LH_0119,STU_064,BN78806EACC0,2025-08-10,2025-08-23,2025-12-06,100.0,4,4,1
LH_0120,STU_064,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,4,3
LH_0121,STU_065,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,3,3
LH_0122,STU_066,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,3,2
LH_0123,STU_066,BN78806EACC0,2025-08-05,2025-08-23,2025-12-06,100.0,3,4,2
LH_0124,STU_066,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,5,4,4
LH_0125,STU_067,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,1
LH_0126,STU_068,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,5,5
LH_0127,STU_069,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,2
LH_0128,STU_069,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,3,1
LH_0129,STU_070,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,5,3
LH_0130,STU_070,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,3,1
LH_0131,STU_071,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,3,4
LH_0132,STU_071,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,4,2
LH_0133,STU_072,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,4,4,3
LH_0134,STU_072,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,2,5
LH_0135,STU_073,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,4,3
LH_0136,STU_074,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,4
LH_0137,STU_074,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,4,4,1
LH_0138,STU_074,BN5486CC8319,2026-02-24,2026-03-21,2026-06-27,100.0,5,4,4
LH_0139,STU_075,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,4,5
LH_0140,STU_076,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,4
LH_0141,STU_076,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,5,3,3
LH_0142,STU_077,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,2,4
LH_0143,STU_078,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,2,2
LH_0144,STU_079,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,2,1
LH_0145,STU_080,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,3,5
LH_0146,STU_080,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,4,3
LH_0147,STU_081,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,3
LH_0148,STU_082,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,1
LH_0149,STU_082,BN96860CB9C8,2025-04-01,2025-04-01,2025-04-30,100.0,4,5,5
LH_0150,STU_082,BN7DCC2A07E6,2026-02-13,2026-03-09,2026-06-25,100.0,5,2,5
LH_0151,STU_083,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,4,4
LH_0152,STU_083,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,3,3
LH_0153,STU_084,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,2
LH_0154,STU_084,BN48FC05969B,2024-03-15,2024-03-15,2024-12-31,100.0,3,2,4
LH_0155,STU_085,BN7D903E79A1,2025-03-21,2025-03-21,2027-12-31,48.9,3,5,3
LH_0156,STU_085,BN7DCC2A07E6,2026-03-02,2026-03-09,2026-06-25,100.0,4,5,1
LH_0157,STU_086,BNC8ABA2482C,2025-09-04,2025-09-04,2026-09-04,90.2,3,3,2
LH_0158,STU_086,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,3,3,1
LH_0159,STU_087,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,2,1
LH_0160,STU_087,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,5,1
LH_0161,STU_088,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,2,2
LH_0162,STU_088,BN78806EACC0,2025-08-06,2025-08-23,2025-12-06,100.0,3,2,2
LH_0163,STU_088,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,3,3
LH_0164,STU_089,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,4
LH_0165,STU_089,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,3,3
LH_0166,STU_089,BN7DCC2A07E6,2026-03-03,2026-03-09,2026-06-25,100.0,4,5,3
LH_0167,STU_090,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,3,4
LH_0168,STU_090,BN5486CC8319,2026-02-23,2026-03-21,2026-06-27,100.0,4,5,4
LH_0169,STU_091,BN78806EACC0,2025-08-11,2025-08-23,2025-12-06,100.0,3,2,5
LH_0170,STU_091,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,5,2,1
LH_0171,STU_092,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,3,4
LH_0172,STU_092,BN6A98738AD9,2026-02-25,2026-03-21,2026-06-27,100.0,3,5,2
LH_0173,STU_093,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,4,4,3
LH_0174,STU_093,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,4
LH_0175,STU_093,BN48FC05969B,2024-03-15,2024-03-15,2024-12-31,100.0,3,4,4
LH_0176,STU_094,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,4,4,1
LH_0177,STU_094,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,5,2,4
LH_0178,STU_095,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,4,2,4
LH_0179,STU_095,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,4,2,2
LH_0180,STU_096,BNA381CEF473,2024-01-01,2024-01-01,2026-12-31,86.0,3,2,2
LH_0181,STU_096,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,5,5,1
LH_0182,STU_097,BN3A8A2F19DE,2026-03-01,2026-03-01,2026-12-31,49.8,4,5,1
LH_0183,STU_098,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,5,3,3
LH_0184,STU_098,BNC08484209D,2026-04-20,2026-04-20,2026-12-31,40.2,3,5,1
LH_0185,STU_099,BNB3A3B8A335,2024-01-01,2024-01-01,2026-12-31,86.0,3,5,3
LH_0186,STU_099,BN48FC05969B,2024-03-15,2024-03-15,2024-12-31,100.0,5,5,2
LH_0187,STU_100,BN83E7ADABE0,2025-01-01,2025-01-01,2026-12-31,78.9,3,5,2
